class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0x3686b4592a046dc86fc304187fb3c40201170068b04506d137086743a1daf332,1733420530787,HYPE,Buy,218.48,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,2773.38512,0
SPOT,0xf754364bc7d75eef6cf004187fb3bb02013000431a95cc12f539aa184a4401b3,1733420530253,HYPE,Buy,258.1,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,3276.3214000000007,0
SPOT,0x1696faaae756d3e3631404187fb33e0201b500206397aea5d679f013cc896419,1733420522213,HYPE,Buy,149,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,1891.4060000000002,0
SPOT,0xdd6ae4a6c3063efa74a704187fb33d020132003631425e81046dbba87de41bff,1733420522205,HYPE,Buy,3,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,38.082,0
SPOT,0x7f128fc8a3477e110b4904187fb31401ae00418529a9a8d93fcc1276432a7004,1733420519047,HYPE,Buy,3,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,38.082,0
SPOT,0x0ce3ae6bada8cb65012004187fb2fe02015200d13490c206f0b9b3388df00488,1733420517644,HYPE,Buy,3,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,38.082,0
SPOT,0xc3f09c25fc3ce9caab2504187fb2e001e200e7a0916398547e6d5cace0217ab9,1733420515598,HYPE,Buy,3,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,38.082,0
SPOT,0x8170ec7b3e3900fd84f904187fb2ba017900b5ccd077cf39c4a771c1a7ff1e6c,1733420513381,HYPE,Buy,3,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,38.082,0
SPOT,0x757af42084ffe938fc2604187fb298016b001d76a3a461bcdc75d6e563754058,1733420511086,HYPE,Buy,3,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,38.082,0
SPOT,0xa992829c16fa1dab8ea204187fb27e020120002420105e87c6cd9928e42cb099,1733420509473,HYPE,Buy,3,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,38.082,0
SPOT,0xd7229a0f83f157c925d104187fb25b01ac00bc6c2c709aee1e7ce9de9136c3c4,1733420507307,HYPE,Buy,3,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,38.082,0
SPOT,0xe34e342cfe565c20ee6b04187fb224018900040f6a4e7f5ebd1b514a07efe228,1733420503868,HYPE,Buy,36.37,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,144.29667,0
